1981-01-01
"Air temperature"	"Precipitation"
10.84	12.1
7.59	21.38
8.52	9.44
10.55	0.14
11.34	0.02
7.76	0
11.80	0.02
9.99	1.98
11.80	0.02
13.26	0.06
15.25	0.22
15.53	0.06
13.06	0
16.51	0
15.10	0.32
10.37	8.44
11.70	3.6
7.56	0.96
7.32	0.32
8.75	0.34
6.02	28.48
8.19	10.36
9.73	1.18
10.28	11.68
8.22	6.98
8.58	0.18
5.11	0.58
9.13	9.76
8.22	0.02
9.29	0
7.71	20.88
8.09	1.3
9.18	10.52
8.15	6.4
8.06	2.26
7.31	6.96
8.49	15.52
8.94	34.78
8.51	41.4
7.31	21.54
6.16	4.06
6.21	0.24
6.04	13.24
8.22	16.32
9.83	0.06
7.79	0.08
8.47	0
6.08	0.02
5.46	0
3.86	0
4.18	0.38
3.46	3.66
5.78	2.22
7.16	0.02
9.43	0
10.56	0
8.23	14.96
9.06	0.58
8.56	0
6.69	0
4.99	0.1
3.78	3.42
6.84	13.96
8.73	0.42
8.47	8.78
9.16	0.02
5.27	0.32
6.72	5.22
6.76	2.58
6.78	0.2
2.47	0.62
0.23	0
3.61	1.24
2.30	7.08
2.76	7.64
4.67	0.5
3.26	1.66
4.00	1.6
4.83	5.58
3.04	2.56
1.88	5.16
1.31	7.72
0.72	0.52
1.68	1.64
2.53	0.26
1.52	0
2.07	0.02
3.50	0
4.14	0
0.32	0
1.36	0
2.84	0.54
2.17	0
1.83	0.22
-0.41	22.8
2.28	1.82
0.72	9.54
0.16	3.84
1.23	0
-1.15	0.38
-0.03	0
2.00	0.96
4.79	4.36
0.44	0.16
-3.96	0
-1.53	6.6
-0.09	4.62
1.84	5.04
1.23	2.76
-2.37	0
1.10	4.2
2.48	0.08
5.62	0
3.29	1.68
1.49	0.92
2.70	0.68
3.49	0
4.24	1.38
3.24	0.02
3.64	0.1
3.36	8.62
3.35	0.02
3.11	0.32
5.48	1.34
1.70	4.6
1.08	0
3.50	0.58
4.32	0.12
6.63	0.74
6.91	0.28
3.52	0.06
1.74	2.64
2.87	3.6
5.43	2.42
7.51	0
7.70	1.2
-0.22	7.84
1.12	0.1
2.66	0
6.34	0.08
4.39	0
2.45	0.08
4.88	0.66
4.48	0.84
6.92	0.38
6.05	0.06
4.77	1.92
2.15	1.02
-0.32	0.38
-1.14	14.96
-1.05	0.82
-0.25	2.48
-2.43	0.06
-2.86	0.1
0.42	20.56
0.50	15.06
-0.04	9.7
-0.88	0.02
-0.15	2.44
-2.14	8.76
-2.27	1.9
0.43	0.88
1.86	0
0.92	0.28
0.00	0.76
0.65	1.66
0.67	0
-1.82	0
-2.68	1.44
-2.37	0.08
-0.81	0
-0.46	0
-0.55	0
-1.49	0
-0.38	0.22
2.48	4.82
2.64	0.48
1.65	0.36
0.80	5.16
2.95	4.98
5.24	0.1
4.90	0
7.18	0
9.67	0
9.16	0
8.89	0
9.44	0
10.18	4.38
3.50	0.18
3.87	0
7.49	0.04
7.88	0.96
5.08	1.38
5.63	0.24
9.73	0.12
7.92	7.64
5.83	0.12
5.19	1.38
1.59	1.98
2.13	0.76
1.36	9.16
0.86	4.38
1.69	5.06
1.04	2.26
0.62	3.44
2.79	0.52
4.80	0.42
2.91	2.8
3.21	2.94
3.26	2.32
0.99	12.24
0.69	1.16
2.00	0.12
2.00	6.38
2.32	2.22
2.24	0.2
2.00	0.68
3.31	2.1
2.10	6.92
2.87	2.24
3.58	0.42
5.52	0.22
8.18	0
8.38	0
8.06	0.46
3.20	0.6
2.07	0.8
2.30	4.28
4.01	2.14
3.15	0.36
2.21	18.16
3.47	10.7
5.35	4.12
4.39	0.74
6.16	0.2
6.28	0.02
5.74	0.96
6.11	2.18
5.79	1.64
6.10	0.34
4.75	15.26
5.16	3.48
6.79	1.12
5.88	5.52
7.50	3.66
8.10	15.28
8.34	5.08
7.87	0.84
3.93	9.52
6.20	6.34
6.46	3.56
7.54	3.84
8.50	0.78
8.33	1.32
8.93	0.02
6.89	0.28
7.93	11.22
8.39	9.34
7.14	4.96
7.68	7.24
7.02	3
7.16	0.02
7.70	0.06
8.81	0.02
6.95	0.08
5.81	3.62
5.68	8.8
6.56	1.04
5.68	1.8
6.74	0.3
7.81	10.02
6.43	5.04
6.39	4.5
8.08	1.26
8.66	0.14
7.39	0
10.15	0.14
14.20	9.76
13.11	0.28
11.48	6.86
12.61	0.28
10.35	0.1
9.47	2.56
9.99	0.36
9.77	0.04
7.37	1.3
13.24	0
15.17	0
16.29	0
15.50	0
13.33	0
13.10	7.4
10.18	0.1
10.72	0
12.78	0
14.28	0.02
11.40	1
10.99	7.5
11.03	1.16
10.77	0.08
12.06	4.76
12.82	0
13.23	0.02
15.54	0.04
15.99	0
17.86	0.02
16.12	0.62
18.14	0
17.82	0
16.75	0
17.53	3.14
19.48	0.42
16.92	0
17.01	0
15.97	0
12.51	0
16.08	1
12.03	0.08
9.42	0.1
13.25	0
17.72	0
17.96	0
16.65	0
15.34	0.72
17.01	0.02
17.56	0.82
16.09	1.46
16.17	0.1
18.42	0
13.44	4.38
14.92	1.3
11.52	1.36
11.02	0.24
11.21	1.04
14.14	0
13.27	0
15.16	0
16.27	0
15.27	0
15.73	0
17.23	0
14.83	0
14.01	0
15.52	0
16.70	0
16.85	0.9
13.04	0.26
13.65	2.5
16.68	0.02
18.00	0
15.78	0.06
17.79	0
13.74	2.48
15.06	1.86
15.02	0.02
17.27	0
17.04	0
14.02	0
11.81	0
12.91	0
17.65	0
13.93	0.22
14.48	0.1
10.10	7.86
13.36	0.02
9.75	2.3
11.19	0.36
8.81	0.9
8.29	0.06
9.09	26.94
10.49	17.22
8.55	18.9
8.00	0.78
8.34	0.3
9.34	0.06
9.74	2.86
11.66	14.64
10.30	4.8
10.68	0.68
9.79	4.32
10.48	0.04
9.61	0.16
7.17	0.74
7.66	3.16
11.00	0.94
9.50	0.06
8.25	0.32
13.22	0
16.23	1.62
8.93	8.82
7.32	4.46
8.45	0.18
10.47	2.54
11.75	0.56
13.64	2.94
13.61	2.02
11.62	0.44
9.32	3.4
7.11	0.02
5.99	0.42
5.71	0.12
6.79	0.38
6.82	5.08
8.86	1.96
7.89	0.22
7.99	1.78
6.78	6.48
6.18	5.4
7.26	7.82
8.85	0.52
7.26	0.92
4.30	0.3
1.63	0
3.54	0.42
5.53	0.32
4.78	3.38
8.18	0
11.04	0.46
7.81	1.7
3.32	0.32
4.07	0
8.21	0.04
9.45	0
10.05	0
4.85	0.18
6.51	0.94
6.27	0.02
6.41	0
8.95	0
9.65	0
10.35	0
8.66	0.18
5.24	1.96
5.81	0.3
6.03	1.02
4.63	0.04
3.10	0.32
3.91	0.22
5.72	0
5.18	0.1
5.60	0.22
6.08	0.76
1.98	2.36
-0.23	1.16
-0.07	0.16
0.98	0
2.94	0.8
5.29	0.1
6.86	2.56
6.10	6.68
5.09	0.92
0.23	0.02
-0.07	0.02
2.54	0
7.78	0
9.26	0.02
8.91	0.34
5.89	0.2
2.05	0
2.40	0.6
4.17	1.96
2.70	2.76
-0.77	1.76
-0.99	1.14
1.15	0.12
2.97	1.94
4.78	0.02
2.36	0.08
-0.01	7.62
2.54	17.12
2.66	7.96
3.35	23.7
4.59	14.02
5.15	8.54
3.71	1.78
1.47	3.8
2.71	16.08
3.56	0.02
6.07	0.84
7.40	0.16
6.99	0.02
5.68	3.12
4.92	0.2
6.09	4.38
2.90	2.34
1.41	6.68
-0.12	8.54
0.89	1.1
0.96	0
2.64	0.28
0.97	6.42
0.88	0.96
1.04	1.34
4.14	0.14
3.46	6.72
1.88	11.98
0.42	5.96
-2.38	3.9
-2.42	0.68
-1.83	13.78
-1.58	0.32
-4.01	3.6
-2.63	1.32
-7.59	0.24
-6.93	8.92
-1.41	8
-1.00	9.14
-4.26	0.04
-6.87	0
-6.35	8.84
-4.52	1.72
0.93	10.14
1.74	0
0.13	1.92
-1.53	0
-2.51	5.5
1.03	2.66
1.92	0.52
2.79	0.66
0.22	2.4
-0.38	7.98
-0.50	2.18
0.72	2.76
2.70	0.08
4.42	0
5.15	0
3.15	0
3.47	0
2.80	0
0.10	0
1.83	0
3.45	0
3.77	0
0.49	2.26
0.36	10.26
1.35	5.04
2.51	3.64
1.67	3.5
2.59	1.92
3.18	0.74
1.53	0.12
0.98	0
2.94	0
4.82	1.28
2.30	5.98
0.84	8.58
3.52	5.06
5.98	0.04
5.54	0
6.44	0.8
4.99	0.24
4.19	0.52
4.37	0.56
4.87	1.96
3.78	6.6
2.82	0.92
1.51	2.28
2.25	0.1
1.16	1.66
1.31	0.12
0.41	0
0.30	0
1.22	0
-0.26	2
2.04	0.02
2.41	0.6
1.91	15.68
2.10	48.12
2.68	9.7
2.00	33.4
1.85	6.96
3.18	2.46
3.31	1.8
1.66	2.64
-0.02	1.82
2.26	0.02
1.96	0
1.76	0.04
3.14	0
3.11	0
1.01	3.94
3.83	1.2
5.22	0.6
5.46	0.36
5.30	1.72
4.20	0.56
4.05	0.38
8.15	0
8.34	0.2
4.13	1.22
4.26	0.22
4.27	1.24
6.90	0.6
9.49	0.02
8.84	0
11.61	0
6.81	0
7.71	0
11.48	0
11.97	0
10.17	0
10.64	0
9.48	0
9.10	0
8.08	0
7.61	0
8.44	0
7.89	0.16
7.98	0.42
6.79	0.02
4.69	0.02
4.09	0
6.20	0
6.85	2.96
6.08	0.04
7.91	0
7.10	0
9.01	0
8.64	0
6.99	0
6.21	0.04
8.71	0
8.66	0.02
7.01	1.28
8.26	4.14
7.23	2.56
10.23	0.08
13.99	0
11.03	0.6
7.19	1.42
5.56	1.32
6.01	0.02
8.81	0
8.96	0
9.14	0
12.83	0.32
9.69	4.92
11.60	0.28
7.17	14.92
11.07	9.82
13.08	0.34
12.52	4.76
13.13	0.02
11.37	0
11.43	0.08
11.37	0
12.87	0
13.11	0.42
13.74	0
12.89	0
13.03	0
15.85	0.1
14.76	0
16.85	0
16.67	0
16.00	0.02
10.87	1.72
10.88	5.74
9.86	0.18
10.48	0.06
12.91	0
14.94	0.2
11.44	1.06
9.56	0.18
9.22	0.04
9.40	0.02
9.97	0.9
9.74	0
11.72	0
11.52	0
14.09	0
15.83	2.56
16.80	0
16.53	0.5
17.66	0.02
15.68	0.4
16.17	1.14
16.93	16.6
13.65	8.42
12.65	6.34
11.69	0.86
13.71	0.38
16.51	0.2
16.55	0.04
16.63	0
15.65	0.12
13.28	0
13.14	0
14.84	0
16.51	0
13.53	0
14.67	0.5
14.97	11.06
17.04	0.2
14.71	0.1
15.70	1.96
13.73	11.22
12.84	0.02
12.82	0
11.57	1.54
10.92	0.3
11.12	0.14
10.87	11.12
12.35	0.02
13.25	0
14.66	0.02
13.87	0
14.51	0
14.89	0
14.20	0
13.76	4.7
12.48	0
12.07	0
14.62	1.6
16.27	1.94
19.02	0.02
18.04	0
16.02	0
17.14	0.04
15.99	0.32
14.91	0.06
13.55	0
12.85	0.08
14.20	0
15.04	0.62
13.30	0
16.19	11.22
13.07	8.52
9.90	4.56
11.97	19.14
11.73	1.56
8.32	2.22
8.93	0
11.17	0
9.84	0.86
11.40	13.92
10.16	4.92
9.77	0.08
10.41	0.22
8.62	1.5
11.60	10.58
12.76	0.04
12.76	0.06
13.51	6.62
9.79	1.62
9.83	0.02
9.60	0
9.55	1.64
5.95	0.08
3.99	14.66
6.56	17.4
9.26	2.96
8.63	1.28
9.37	0.14
7.97	4.6
11.17	2.96
11.17	2.24
7.84	0.4
5.23	0.02
3.64	14.44
4.97	12.68
5.29	0.1
5.56	0.12
6.65	0.16
8.35	1.92
10.06	0.28
8.26	0
9.10	0
7.63	0
7.60	7.22
9.90	0.38
9.08	0.5
12.63	0
9.17	0.16
8.06	10.44
6.77	7.38
7.77	3.24
6.56	1.76
7.87	7.78
8.37	0.02
6.70	0.6
5.84	24
6.96	3.22
6.41	0.2
6.17	0.22
8.42	0.52
8.02	3.12
7.76	2.5
8.88	0
10.07	6.4
7.32	8.92
5.40	72.02
3.96	2.54
1.49	0.1
-1.41	4.36
2.08	7.36
5.58	13.98
8.77	25.76
8.76	0.5
7.98	1.42
7.94	0.24
5.89	0.36
5.90	22.28
5.94	27.98
5.10	13.58
4.43	14.66
4.51	17.6
4.71	15.8
4.29	6.8
5.14	9.3
5.19	0.08
4.42	0.12
4.42	0.1
3.82	0.5
4.62	0.96
5.32	3.12
5.55	0.34
6.16	0.42
7.62	0.5
2.68	9.46
3.63	2.44
4.54	0.82
5.30	1.56
5.65	1.66
5.53	0.76
6.03	1.9
5.82	3
5.76	0.1
7.61	0
4.63	0
4.72	0
4.20	0
5.60	6.38
4.82	9.48
3.20	19.2
3.21	13.3
2.19	0.14
2.22	0.04
2.83	0
2.10	0.02
5.66	0
8.34	10.98
2.55	0.16
1.60	0.82
-1.63	0
-2.28	0
0.06	0.12
1.46	5.94
3.79	0.2
2.97	5.46
2.99	1.72
1.28	7.66
1.16	2.98
2.07	5.58
1.81	5.32
1.48	9.4
1.52	0.82
1.37	1.16
1.35	1.2
0.92	0.04
-0.62	0
-4.02	0.08
-2.62	1.82
-1.27	0.18
-0.71	2.76
-0.50	14.28
0.76	3.02
0.50	0.08
-2.43	0.04
-1.50	1.76
-0.92	17.68
0.54	6.54
-2.28	0.38
-2.14	0
-6.77	1.08
-6.53	0.08
-5.74	1.76
-2.37	0.66
3.50	0.26
4.15	0.14
4.83	1.5
3.80	3.14
2.71	0.54
3.42	0.1
5.40	0
4.30	1.06
2.59	1.28
-0.04	1.66
0.06	0.92
-2.43	0.24
-2.57	0.6
-2.33	0.06
-3.50	0
-3.22	0.1
-2.78	0.24
-4.89	0
-3.26	0
-2.31	0.08
0.38	0.16
2.42	0.02
3.94	0
3.02	0.22
4.17	0.02
6.35	0
9.29	0
3.79	0
4.26	0
4.25	0
2.81	0
2.07	1.68
1.84	0.02
3.17	11.06
4.34	2.54
5.47	0
4.86	0.14
6.61	0.06
3.99	0.5
8.18	0.3
6.33	0.24
4.01	0
5.14	0.52
4.52	0.02
1.33	0.14
-0.11	4.38
-1.46	3.54
0.09	0
-1.69	0.04
-0.15	0.8
-1.79	7.06
0.15	0.7
1.10	1.94
2.94	6.88
3.05	3.38
3.46	0.34
2.51	4.28
1.91	2.92
1.33	1.04
-1.93	9.96
1.26	6.32
4.29	1.76
5.41	2.5
7.22	1.12
9.14	0.28
9.45	6.26
8.76	6.1
6.54	6.54
6.38	5.86
4.34	8.92
3.88	0.92
4.18	1.02
4.77	1.38
5.05	0.3
5.61	1.48
6.18	0.56
5.73	0.62
9.84	0.02
7.43	0
6.88	0.04
8.53	10.04
3.72	2.5
5.21	0
4.84	0.26
5.42	0.04
4.90	0.8
2.51	1.2
3.56	4.9
0.80	1.96
1.36	2.84
4.74	1.02
8.80	2.06
5.53	1.44
5.77	0.14
5.11	0.24
5.35	0
5.38	0.12
6.84	0.34
7.90	0.02
8.76	7.76
6.82	5.72
6.66	0.7
6.52	0
6.12	0
8.54	0
8.41	5.04
8.86	0.12
11.30	1.32
10.62	4.2
10.59	10.54
8.25	1.52
6.87	0.02
7.65	0.06
6.78	2.02
6.59	6.52
9.04	1.36
9.27	5.8
12.43	0
13.96	14.76
8.84	0.4
9.53	0
9.21	0
11.44	0
13.34	0
13.10	0
12.64	0
11.29	0.82
8.33	1.62
6.91	0.32
5.72	0.52
7.25	3.36
9.29	9.66
9.10	1.06
9.95	8.02
8.18	15.68
7.49	1.18
7.14	1.36
7.66	3.12
9.19	0.78
8.37	0.6
11.39	5.4
10.55	2.28
10.94	0
11.10	25
10.83	12.98
12.21	0.08
10.93	23.02
11.66	5.74
11.06	7.42
11.39	1.62
10.99	1.46
10.47	1.72
11.71	7.04
12.88	2.92
14.02	0.32
15.32	1.86
17.16	0.02
15.49	11.1
13.13	1.18
12.44	0.1
14.47	3
12.90	0.74
12.12	3.74
15.36	2.04
16.07	1.58
11.62	2.14
12.89	1.6
10.51	2.78
13.32	1.06
12.58	0.62
12.10	0.04
12.00	0.02
10.29	0.2
11.67	0.68
10.05	1.6
11.41	2.98
14.69	0.28
17.31	0.1
13.61	22.42
14.91	10.16
12.50	9.3
12.63	11.5
12.73	0.02
12.65	0.08
11.93	7.24
13.35	3.54
12.19	0.02
11.64	7.32
10.81	3.68
11.65	0.64
10.63	3.3
11.17	1.56
10.29	0.12
10.84	0.02
11.64	15.96
11.47	0.1
9.59	1.42
11.51	11.08
11.34	10.12
12.84	3.72
13.72	0.02
12.08	4.72
15.12	8.12
11.53	2.78
14.26	1.92
11.48	0.1
10.49	4.74
12.50	7.72
11.34	1.58
11.13	2.16
11.98	0.98
13.38	0
9.28	9.66
12.65	0.42
11.12	3.64
10.77	2.56
8.47	9.24
9.21	1.84
7.11	11.4
8.02	1.56
6.88	0.1
6.61	1.52
7.75	7.72
12.11	1.78
13.53	0
11.14	0
14.17	0.48
10.60	0.68
11.49	0.08
10.63	1.58
9.30	2.6
11.47	0.14
8.15	10.74
10.72	0.04
7.73	15.68
6.72	11.38
7.38	17.56
10.08	1.9
11.65	3.86
12.36	2.1
13.17	0.1
13.09	2.82
14.08	0
14.95	0.1
14.46	0.94
16.62	0.4
14.78	1
12.40	2.16
11.26	1.14
11.24	0.84
10.61	0.48
8.57	2.08
7.24	0.3
8.04	0.28
9.36	0.04
10.10	0
6.36	0
9.66	0
12.46	0
12.39	0
9.84	0
7.91	0.66
7.75	0
5.81	0
6.64	0
9.04	0
4.79	0
6.11	0.02
7.19	0
5.76	0
4.29	0
4.07	0
5.75	0.72
6.64	0
5.25	0.92
3.46	0.88
2.89	6.62
0.42	0.38
2.07	0
4.66	3
3.71	9.3
1.57	0.46
3.02	1.42
3.43	11.9
4.80	11.94
-0.80	4.54
-0.27	4.84
0.37	0.02
-0.48	0
0.16	9.78
3.00	0.48
3.10	0.12
1.98	0.22
2.79	0
2.04	0.64
1.35	0.76
1.10	3
0.94	3.2
2.59	3.62
2.78	2.36
1.83	4.42
0.61	8.16
-1.51	13.54
-3.46	0.08
-6.62	0
-3.33	8.48
2.86	2.36
8.18	4.42
9.01	0.82
5.39	0.42
4.42	10.5
3.15	6.92
0.64	0.8
-0.31	3.42
0.43	0.1
-0.71	1.58
1.72	0.02
5.15	0.1
5.95	0.02
6.04	0.1
8.93	1.2
8.14	10.82
5.73	5.14
4.34	0.02
3.78	1.44
6.25	0.48
6.30	0.6
2.99	0.1
3.02	0.08
3.07	0.42
1.88	1.5
-0.52	0.92
-2.84	6.56
-4.79	2.48
-5.42	0
-5.09	2.54
-2.06	9.94
1.60	3.26
1.36	7
-1.14	0.7
-3.01	3.88
-3.14	8.08
-1.42	0.02
